county_name,article,tax_allocation_point_of_sale,gs_105_524_adjustments,tax_allocation_other_1,article_42_adjustment_2,cost_of_collection_3,per_capita_adjustments,gs_105_486_b_adjustment_4,distributable_proceeds,month,year,date,fiscal_year
Burke,45,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Burke,46,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Burke,Total,1295732.81,115890.92,258307.64,-3362.43,-5566.34,197451.06,14556.05,1873009.71,july,2016,2016-07-01,2017
Cabarrus,39,2866638.95,-85927.32,0,0,-9287.58,0,0,2771424.05,july,2016,2016-07-01,2017
Cabarrus,39-Food,0,0,194935.97,0,-651.09,0,0,194284.88,july,2016,2016-07-01,2017
Cabarrus,40,1433319.14,-42963.65,0,0,-4643.79,-291976.71,58400.43,1152135.42,july,2016,2016-07-01,2017
Cabarrus,40-Food,0,0,122666.7,0,-409.71,0,6527.96,128784.95,july,2016,2016-07-01,2017
Cabarrus,42,1433319.14,-42963.65,0,-14878.37,-4594.09,0,0,1370883.03,july,2016,2016-07-01,2017
Cabarrus,42-Food,0,0,122666.7,0,-409.71,0,6527.96,128784.95,july,2016,2016-07-01,2017
Cabarrus,43,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Cabarrus,44,90.91,0,0,0,-0.3,0,0,90.61,july,2016,2016-07-01,2017
Cabarrus,44 *524(c.),0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Cabarrus,45,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Cabarrus,46,711469.88,0,0,0,-2376.31,0,0,709093.57,july,2016,2016-07-01,2017
Cabarrus,Total,6444838.02,-171854.62,440269.37,-14878.37,-22372.58,-291976.71,71456.35,6455481.46,july,2016,2016-07-01,2017
Caldwell,39,543055.06,-16278.04,0,0,-1759.44,0,0,525017.58,july,2016,2016-07-01,2017
Caldwell,39-Food,0,0,118305.14,0,-395.14,0,0,117910,july,2016,2016-07-01,2017
Caldwell,40,271527.53,-8139.02,0,0,-879.72,209452.8,10995.95,482957.54,july,2016,2016-07-01,2017
Caldwell,40-Food,0,0,52932.36,0,-176.79,0,1229.12,53984.69,july,2016,2016-07-01,2017
Caldwell,42,271527.53,-8139.02,0,-2818.55,-870.3,0,0,259699.66,july,2016,2016-07-01,2017
Caldwell,42-Food,0,0,52932.36,0,-176.79,0,1229.12,53984.69,july,2016,2016-07-01,2017
Caldwell,43,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Caldwell,44,0.45,0,0,0,0,0,0,0.45,july,2016,2016-07-01,2017
Caldwell,44 *524(c.),0,121522.37,0,0,-405.88,0,0,121116.49,july,2016,2016-07-01,2017
Caldwell,45,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Caldwell,46,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Caldwell,Total,1086110.57,88966.29,224169.86,-2818.55,-4664.06,209452.8,13454.19,1614671.1,july,2016,2016-07-01,2017
Camden,39,42961.43,-1287.77,0,0,-139.19,0,0,41534.47,july,2016,2016-07-01,2017
Camden,39-Food,0,0,3902.09,0,-13.03,0,0,3889.06,july,2016,2016-07-01,2017
Camden,40,21480.72,-643.88,0,0,-69.6,37915.25,-4520.02,54162.47,july,2016,2016-07-01,2017
Camden,40-Food,0,0,6581.47,0,-21.98,0,-505.25,6054.24,july,2016,2016-07-01,2017
Camden,42,21480.72,-643.88,0,-222.98,-68.85,0,0,20545.01,july,2016,2016-07-01,2017
Camden,42-Food,0,0,6581.47,0,-21.98,0,-505.25,6054.24,july,2016,2016-07-01,2017
Camden,43,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Camden,44,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Camden,44 *524(c.),0,33913.22,0,0,-113.27,0,0,33799.95,july,2016,2016-07-01,2017
Camden,45,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Camden,46,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Camden,Total,85922.87,31337.69,17065.03,-222.98,-447.9,37915.25,-5530.52,166039.44,july,2016,2016-07-01,2017
Carteret,39,1297210.91,-38883.81,0,0,-4202.81,0,0,1254124.29,july,2016,2016-07-01,2017
Carteret,39-Food,0,0,137126.7,0,-458,0,0,136668.7,july,2016,2016-07-01,2017
