county,gross_collections,foreign_collections,refunds,net_collections,month,year,date,fiscal_year
Craven,2304497.39890756,0,18216.54890756,2286280.85,april,2016,2016-04-01,2016
Cumberland,9408401.68544792,0,1107873.57544792,8300528.11,april,2016,2016-04-01,2016
Currituck,486328.99193052,0,4284.44193052,482044.55,april,2016,2016-04-01,2016
Dare,1778147.75867138,0,7371.43867138,1770776.32,april,2016,2016-04-01,2016
Davidson,2968296.00713522,0,399976.99713522,2568319.01,april,2016,2016-04-01,2016
Davie,737454.5260657199,0,11063.83606572,726390.69,april,2016,2016-04-01,2016
Duplin,892395.2547374001,0,6921.0747374,885474.18,april,2016,2016-04-01,2016
Durham,15100101.675766,0,2985840.065766,12114261.61,april,2016,2016-04-01,2016
Edgecombe,839402.8025297598,0,12255.47252976,827147.33,april,2016,2016-04-01,2016
Forsyth,10964171.06433844,0,177126.70433844,10787044.36,april,2016,2016-04-01,2016
Franklin,846742.72764602,0,5448.63764602,841294.09,april,2016,2016-04-01,2016
Gaston,4643311.97053746,0,33791.68053746,4609520.29,april,2016,2016-04-01,2016
Gates,96020.5631483,0,495.2031483,95525.36,april,2016,2016-04-01,2016
Graham,115479.01860022,0,26267.39860022,89211.62,april,2016,2016-04-01,2016
Granville,810144.03960168,0,12776.22960168,797367.81,april,2016,2016-04-01,2016
Greene,166253.23830208,0,2295.6783020800003,163957.56,april,2016,2016-04-01,2016
Guilford,14629010.57418916,0,184423.02418916,14444587.55,april,2016,2016-04-01,2016
Halifax,1129643.50670972,0,64323.49670972,1065320.01,april,2016,2016-04-01,2016
Harnett,1964695.09671424,0,-2444.0832857599994,1967139.18,april,2016,2016-04-01,2016
Haywood,1469449.84832762,0,21363.45832762,1448086.39,april,2016,2016-04-01,2016
Henderson,2546687.79787816,0,31836.80787816,2514850.99,april,2016,2016-04-01,2016
Hertford,513473.05136164,0,3444.73136164,510028.32,april,2016,2016-04-01,2016
Hoke,436721.79805236,0,6107.90805236,430613.89,april,2016,2016-04-01,2016
Hyde,81400.89018122,0,130.15018122,81270.74,april,2016,2016-04-01,2016
Iredell,4783614.12164852,0,229548.93164852,4554065.19,april,2016,2016-04-01,2016
Jackson,847333.0247605202,0,6024.59476052,841308.43,april,2016,2016-04-01,2016
Johnston,3651378.30259688,0,23067.50259688,3628310.8,april,2016,2016-04-01,2016
Jones,83368.10796782,0,1405.60796782,81962.5,april,2016,2016-04-01,2016
Lee,1658184.0554566,0,20468.1654566,1637715.89,april,2016,2016-04-01,2016
Lenoir,1216867.90105572,0,14004.76105572,1202863.14,april,2016,2016-04-01,2016
Lincoln,1539500.1613351798,0,17221.02133518,1522279.14,april,2016,2016-04-01,2016
Macon,830376.4640992398,0,7942.25409924,822434.21,april,2016,2016-04-01,2016
Madison,217119.7234241,0,1168.4434241,215951.28,april,2016,2016-04-01,2016
Martin,493440.13836568,0,7925.878365679999,485514.26,april,2016,2016-04-01,2016
McDowell,744278.80254276,0,4047.78254276,740231.02,april,2016,2016-04-01,2016
Mecklenburg,45623336.26097584,0,3347643.19097584,42275693.07,april,2016,2016-04-01,2016
Mitchell,277451.48484124,0,1357.65484124,276093.83,april,2016,2016-04-01,2016
Montgomery,406814.91147062,0,22908.38147062,383906.53,april,2016,2016-04-01,2016
Moore,2474831.28499336,0,48199.65499336,2426631.63,april,2016,2016-04-01,2016
Nash,2318234.37778062,0,100751.41778062,2217482.96,april,2016,2016-04-01,2016
New Hanover,8995001.923344819,0,1551786.62334482,7443215.3,april,2016,2016-04-01,2016
Northampton,239893.50851218,0,13801.51851218,226091.99,april,2016,2016-04-01,2016
Onslow,4375624.6580994,0,48241.8380994,4327382.82,april,2016,2016-04-01,2016
Orange,4035519.83641782,0,107276.67641782,3928243.16,april,2016,2016-04-01,2016
