county,gross_collections,taxable_sales,month,year,date,fiscal_year
Durham,10804644.5,308291392,september,2000,2000-09-01,2001
Edgecombe,846936.93,32347545,september,2000,2000-09-01,2001
Forsyth,11504035.8,492737029,september,2000,2000-09-01,2001
Franklin,567630.08,22887378,september,2000,2000-09-01,2001
Gaston,3749357.39,170775537,september,2000,2000-09-01,2001
Gates,40784.01,3088344,september,2000,2000-09-01,2001
Graham,97151.74,3483741,september,2000,2000-09-01,2001
Granville,548528.19,29505140,september,2000,2000-09-01,2001
Greene,99485.44,4475665,september,2000,2000-09-01,2001
Guilford,17929011.87,772311855,september,2000,2000-09-01,2001
Halifax,940903.17,40256755,september,2000,2000-09-01,2001
Harnett,1258150.71,52458765,september,2000,2000-09-01,2001
Haywood,1351309.06,53665995,september,2000,2000-09-01,2001
Henderson,2139842.42,72380292,september,2000,2000-09-01,2001
Hertford,628367.45,25827413,september,2000,2000-09-01,2001
Hoke,141059.31,6365139,september,2000,2000-09-01,2001
Hyde,194845.41,6103855,september,2000,2000-09-01,2001
Iredell,3183188.96,137687882,september,2000,2000-09-01,2001
Jackson,833172.57,28946807,september,2000,2000-09-01,2001
Johnston,2413392.76,110191520,september,2000,2000-09-01,2001
Jones,104575.63,3674638,september,2000,2000-09-01,2001
Lee,1332098.23,58597957,september,2000,2000-09-01,2001
Lenoir,1479019.58,65741266,september,2000,2000-09-01,2001
Lincoln,1152646.59,45060945,september,2000,2000-09-01,2001
Macon,1128700.83,37506481,september,2000,2000-09-01,2001
Madison,122754.33,5715661,september,2000,2000-09-01,2001
Martin,506667.49,15177657,september,2000,2000-09-01,2001
McDowell,547026.9,31467586,september,2000,2000-09-01,2001
Mecklenburg,35199194.29,1321915319,september,2000,2000-09-01,2001
Mitchell,370828.14,15149857,september,2000,2000-09-01,2001
Montgomery,339816.12,21039281,september,2000,2000-09-01,2001
Moore,1848469.16,77805432,september,2000,2000-09-01,2001
Nash,2752545.53,118857612,september,2000,2000-09-01,2001
New Hanover,7256443.19,285028619,september,2000,2000-09-01,2001
Northampton,116702.08,5753915,september,2000,2000-09-01,2001
Onslow,2404792.77,90212395,september,2000,2000-09-01,2001
Orange,2701203.7,98158971,september,2000,2000-09-01,2001
Pamlico,123310.04,5583287,september,2000,2000-09-01,2001
Pasquotank,910614.57,36276509,september,2000,2000-09-01,2001
Pender,515377.85,21172797,september,2000,2000-09-01,2001
Perquimans,67463.34,3276917,september,2000,2000-09-01,2001
Person,586866.53,27831082,september,2000,2000-09-01,2001
Pitt,4056101.59,176717975,september,2000,2000-09-01,2001
Polk,172687.26,7708956,september,2000,2000-09-01,2001
Randolph,2074590.57,84119761,september,2000,2000-09-01,2001
Richmond,744530.54,29125651,september,2000,2000-09-01,2001
Robeson,1751868.69,73181593,september,2000,2000-09-01,2001
Rockingham,1224718.74,58843037,september,2000,2000-09-01,2001
Rowan,2307265.05,89828715,september,2000,2000-09-01,2001
Rutherford,1096172.48,42019674,september,2000,2000-09-01,2001
Sampson,881289.65,39212473,september,2000,2000-09-01,2001
Scotland,714114.43,24927407,september,2000,2000-09-01,2001
Stanly,1145885.56,47989275,september,2000,2000-09-01,2001
Stokes,315602.92,13767999,september,2000,2000-09-01,2001
Surry,1767089.04,81084028,september,2000,2000-09-01,2001
Swain,179997.28,11215797,september,2000,2000-09-01,2001
Transylvania,640552.97,21798566,september,2000,2000-09-01,2001
Tyrrell,27688.61,1514765,september,2000,2000-09-01,2001
Union,2762867.18,106947726,september,2000,2000-09-01,2001
Vance,888419.87,44912974,september,2000,2000-09-01,2001
Wake,28040530.5,1052641894,september,2000,2000-09-01,2001
Warren,143864.65,6924807,september,2000,2000-09-01,2001
Washington,138041.38,7410099,september,2000,2000-09-01,2001
Watauga,1944845.77,68314305,september,2000,2000-09-01,2001
Wayne,2529663.13,95667178,september,2000,2000-09-01,2001
Wilkes,1205951.31,57482412,september,2000,2000-09-01,2001
Wilson,1883553.51,85042666,september,2000,2000-09-01,2001
Yadkin,451863.96,18153439,september,2000,2000-09-01,2001
Yancey,247101.4,7904314,september,2000,2000-09-01,2001
Foreign,44874179.98,1691905721,september,2000,2000-09-01,2001
Alamance,3495367.36,149222662,october,2000,2000-10-01,2001
Alexander,324806.58,17938000,october,2000,2000-10-01,2001
Alleghany,219512.11,7829907,october,2000,2000-10-01,2001
Anson,255812.65,12874568,october,2000,2000-10-01,2001
Ashe,373623.27,16525988,october,2000,2000-10-01,2001
Avery,455863.3,15936364,october,2000,2000-10-01,2001
Beaufort,971735.09,40262619,october,2000,2000-10-01,2001
Bertie,82566.33,6387441,october,2000,2000-10-01,2001
Bladen,385055.37,23393585,october,2000,2000-10-01,2001
Brunswick,1800877.37,69211847,october,2000,2000-10-01,2001
Buncombe,8288515.71,316332010,october,2000,2000-10-01,2001
Burke,1296020.3,63541486,october,2000,2000-10-01,2001
Cabarrus,4000291.66,157446264,october,2000,2000-10-01,2001
Caldwell,1202325.76,61239565,october,2000,2000-10-01,2001
Camden,45618.06,2022790,october,2000,2000-10-01,2001
Carteret,1831192.39,64597098,october,2000,2000-10-01,2001
Caswell,122705.71,5192464,october,2000,2000-10-01,2001
Catawba,4803034.67,205995615,october,2000,2000-10-01,2001
Chatham,643820.71,34803734,october,2000,2000-10-01,2001
Cherokee,665091.42,31663785,october,2000,2000-10-01,2001
Chowan,222828.62,10197230,october,2000,2000-10-01,2001
Clay,123586.43,7736715,october,2000,2000-10-01,2001
Cleveland,1816654.94,90441714,october,2000,2000-10-01,2001
Columbus,849362.65,36062830,october,2000,2000-10-01,2001
Craven,1782566.83,78711008,october,2000,2000-10-01,2001
Cumberland,6290587.47,258017294,october,2000,2000-10-01,2001
